,Group,Word,Validity,Condition,Participant_1,Participant_2
0,3,search,1,Type_0,Soeren,SGT
1,3,race,1,Type_0,Soeren,SGT
2,3,chase,1,Type_0,Soeren,SGT
3,3,races,1,Type_0,Soeren,SGT
4,3,case,1,Type_0,Soeren,SGT
5,3,care,1,Type_0,Soeren,SGT
6,3,cares,1,Type_0,Soeren,SGT
7,3,reach,1,Type_0,Soeren,SGT
8,3,car,1,Type_0,Soeren,SGT
9,3,cars,1,Type_0,Soeren,SGT
10,3,lars,0,Type_0,Soeren,SGT
11,3,lase,1,Type_0,Soeren,SGT
12,3,lacer,1,Type_0,Soeren,SGT
13,3,laser,1,Type_0,Soeren,SGT
14,3,hear,1,Type_0,Soeren,SGT
15,3,ear,1,Type_0,Soeren,SGT
16,3,ears,1,Type_0,Soeren,SGT
17,3,her,1,Type_0,Soeren,SGT
18,3,she,1,Type_0,Soeren,SGT
19,3,he,1,Type_0,Soeren,SGT
20,3,hes,1,Type_0,Soeren,SGT
21,3,chase,1,Type_0,Soeren,SGT
22,3,sear,1,Type_0,Soeren,SGT
23,3,rear,0,Type_0,Soeren,SGT
24,3,seal,1,Type_0,Soeren,SGT
25,3,leach,1,Type_0,Soeren,SGT
26,3,hase,0,Type_0,Soeren,SGT
27,3,hace,0,Type_0,Soeren,SGT
28,3,cals,0,Type_0,Soeren,SGT
29,3,cal,0,Type_0,Soeren,SGT
30,3,cale,0,Type_0,Soeren,SGT
31,3,slac,0,Type_0,Soeren,SGT
32,3,hal,0,Type_0,Soeren,SGT
33,3,hals,0,Type_0,Soeren,SGT
