,Group,Word,Validity,Condition,Participant
0,12,ash,1,Type_1,CBC
1,12,cash,1,Type_1,CBC
2,12,cast,1,Type_1,CBC
3,12,stem,1,Type_1,CBC
4,12,steam,1,Type_1,CBC
5,12,sheat,0,Type_1,CBC
6,12,mast,1,Type_1,CBC
7,12,ham,1,Type_1,CBC
8,12,tam,1,Type_1,CBC
9,12,smac,0,Type_1,CBC
10,12,hem,1,Type_1,CBC
11,12,hems,1,Type_1,CBC
12,12,tem,0,Type_1,CBC
13,12,tems,0,Type_1,CBC
14,12,am,1,Type_1,CBC
15,12,mas,1,Type_1,CBC
16,12,she,1,Type_1,CBC
17,12,hat,1,Type_1,CBC
18,12,hats,1,Type_1,CBC
19,12,mat,1,Type_1,CBC
20,12,mats,1,Type_1,CBC
21,12,met,1,Type_1,CBC
22,12,meat,1,Type_1,CBC
23,12,meats,1,Type_1,CBC
24,12,seat,1,Type_1,CBC
25,12,eat,1,Type_1,CBC
26,12,eats,1,Type_1,CBC
27,12,east,1,Type_1,CBC
28,12,met,1,Type_1,CBC
29,12,has,1,Type_1,CBC
30,12,hast,1,Type_1,CBC
31,12,heat,1,Type_1,CBC
32,12,heats,1,Type_1,CBC
33,12,sat,1,Type_1,CBC
34,12,as,1,Type_1,CBC
35,12,same,1,Type_1,CBC
36,12,mesh,1,Type_1,CBC
37,12,mash,1,Type_1,CBC
38,12,at,1,Type_1,CBC
39,12,ate,1,Type_1,CBC
40,12,ates,1,Type_1,CBC
41,12,hae,1,Type_1,CBC
42,12,ma,1,Type_1,CBC
43,12,mae,1,Type_1,CBC
44,12,set,1,Type_1,CBC
45,12,sea,1,Type_1,CBC
46,12,eas,0,Type_1,CBC
47,12,east,1,Type_1,CBC
48,12,cam,1,Type_1,CBC
49,12,cat,1,Type_1,CBC
50,12,cats,1,Type_1,CBC
51,12,cams,1,Type_1,CBC
52,12,tas,1,Type_1,CBC
53,12,tash,0,Type_1,CBC
54,12,atm,0,Type_1,CBC
55,12,steam,1,Type_1,CBC
56,12,cham,1,Type_1,CBC
57,12,chasm,1,Type_1,CBC
58,12,casm,0,Type_1,CBC
59,12,tea,1,Type_1,CBC
60,12,teas,1,Type_1,CBC
61,12,heat,1,Type_1,CBC
62,12,heats,1,Type_1,CBC
63,12,chase,1,Type_1,CBC
64,12,hast,1,Type_1,CBC
65,12,chat,1,Type_1,CBC
66,12,chats,1,Type_1,CBC
67,12,seam,1,Type_1,CBC
68,12,sac,1,Type_1,CBC
69,12,sec,1,Type_1,CBC
70,12,tes,0,Type_1,CBC
71,12,tesa,0,Type_1,CBC
72,12,case,1,Type_1,CBC
73,12,ase,0,Type_1,CBC
74,12,sam,0,Type_1,CBC
75,12,same,1,Type_1,CBC
76,12,hame,1,Type_1,CBC
77,12,em,1,Type_1,CBC
78,12,am,1,Type_1,CBC
79,12,tame,1,Type_1,CBC
80,12,schat,0,Type_1,CBC
81,12,scat,1,Type_1,CBC
82,12,scam,1,Type_1,CBC
83,12,eas,0,Type_1,CBC
84,12,met,1,Type_1,CBC
