,Group,Word,Validity,Condition,Participant
0,1,search,0,Type_1,Mathilde
1,1,cash,1,Type_1,Mathilde
2,1,meat,1,Type_1,Mathilde
3,1,chase,1,Type_1,Mathilde
4,1,east,1,Type_1,Mathilde
5,1,ace,1,Type_1,Mathilde
6,1,has,1,Type_1,Mathilde
7,1,as,1,Type_1,Mathilde
8,1,a,0,Type_1,Mathilde
9,1,tea,1,Type_1,Mathilde
10,1,he,1,Type_1,Mathilde
11,1,met,1,Type_1,Mathilde
12,1,hat,1,Type_1,Mathilde
13,1,set,1,Type_1,Mathilde
14,1,hats,1,Type_1,Mathilde
15,1,mast,1,Type_1,Mathilde
16,1,mate,1,Type_1,Mathilde
17,1,meta,1,Type_1,Mathilde
18,1,masts,0,Type_1,Mathilde
19,1,eat,1,Type_1,Mathilde
20,1,seat,1,Type_1,Mathilde
21,1,seats,0,Type_1,Mathilde
22,1,cat,1,Type_1,Mathilde
23,1,cats,1,Type_1,Mathilde
