,Group,Word,Validity,Condition,Participant
0,4,sham,1,Type_1,CKB
1,4,cast,1,Type_1,CKB
2,4,mash,1,Type_1,CKB
3,4,cash,1,Type_1,CKB
4,4,shame,1,Type_1,CKB
5,4,tame,1,Type_1,CKB
6,4,same,1,Type_1,CKB
7,4,hate,1,Type_1,CKB
8,4,mate,1,Type_1,CKB
9,4,mates,1,Type_1,CKB
10,4,hat,1,Type_1,CKB
11,4,hats,1,Type_1,CKB
12,4,cat,1,Type_1,CKB
13,4,cats,1,Type_1,CKB
14,4,same,1,Type_1,CKB
15,4,met,1,Type_1,CKB
16,4,sat,1,Type_1,CKB
17,4,stem,1,Type_1,CKB
18,4,stam,0,Type_1,CKB
19,4,came,1,Type_1,CKB
20,4,case,1,Type_1,CKB
21,4,shame,1,Type_1,CKB
22,4,hat,1,Type_1,CKB
23,4,hats,1,Type_1,CKB
24,4,tec,0,Type_1,CKB
25,4,chat,1,Type_1,CKB
26,4,chats,1,Type_1,CKB
27,4,sac,1,Type_1,CKB
28,4,ame,0,Type_1,CKB
29,4,east,1,Type_1,CKB
30,4,mac,1,Type_1,CKB
31,4,mesh,1,Type_1,CKB
