,Group,Word,Validity,Condition,Participant
0,2,cat,1,Type_0,ML
1,2,cats,1,Type_0,ML
2,2,chase,1,Type_0,ML
3,2,cast,1,Type_0,ML
4,2,masch,0,Type_0,ML
5,2,chase,1,Type_0,ML
6,2,chem,0,Type_0,ML
7,2,shea,1,Type_0,ML
8,2,mast,1,Type_0,ML
9,2,case,1,Type_0,ML
10,2,mash,1,Type_0,ML
11,2,mast,1,Type_0,ML
12,2,chest,1,Type_0,ML
13,2,haste,1,Type_0,ML
14,2,has,1,Type_0,ML
15,2,sec,1,Type_0,ML
16,2,tase,0,Type_0,ML
17,2,haste,1,Type_0,ML
18,2,chem,0,Type_0,ML
19,2,cash,1,Type_0,ML
20,2,shea,1,Type_0,ML
21,2,she,1,Type_0,ML
22,2,h,0,Type_0,ML
23,2,he,1,Type_0,ML
24,2,hat,1,Type_0,ML
25,2,hats,1,Type_0,ML
26,2,cam,1,Type_0,ML
27,2,cams,1,Type_0,ML
28,2,ham,1,Type_0,ML
29,2,hams,1,Type_0,ML
30,2,shat,1,Type_0,ML
31,2,shac,0,Type_0,ML
32,2,set,1,Type_0,ML
33,2,mes,0,Type_0,ML
34,2,smat,0,Type_0,ML
35,2,mat,1,Type_0,ML
36,2,mats,1,Type_0,ML
37,2,sam,0,Type_0,ML
38,2,sac,1,Type_0,ML
39,2,hac,0,Type_0,ML
40,2,hec,0,Type_0,ML
41,2,hem,1,Type_0,ML
42,2,hes,1,Type_0,ML
43,2,met,1,Type_0,ML
44,2,mets,0,Type_0,ML
45,2,the,1,Type_0,ML
46,2,them,1,Type_0,ML
47,2,chaste,1,Type_0,ML
48,2,haste,1,Type_0,ML
